date,title,link,reco,score,content,is_target,board
2026-01-05 00:00,"[잡담]D-1) 인방, 방송인 위주 세르카 레이드 공대 정리",https://www.inven.co.kr/board/lostark/6271/3127838?p=6&my=chuchu,79,107.9,세르카 레이드 출시를 기념하여인방 위주로 공격대를 정리해보았습니다.로스트아크 스트리머분들 뿐만 아니라도전하는 유저분들 모두 화이팅!,True,6271
2026-01-02 00:00,[잡담]라이브방송_최근_5분_요약.jpg,https://www.inven.co.kr/board/lostark/6271/3115374?p=8&my=chuchu,69,106.9,모름청년과 금 변호사,True,6271
