item_name,day_0,day_1,day_2,day_3,day_4,day_5,day_6,global_mean,global_std,volatility_cv
(고급)질서의 젬 : 견고,0.9401576798528902,0.6556646649205617,1.4016827999563892,0.9960933247952939,1.107992767465354,0.9912564300834517,0.8882106126997882,113.29094133500875,225.67289616113837,1.9919765296486398
(고급)질서의 젬 : 불변,0.7132375161758864,0.38603864712358815,2.6405322614493136,1.0529769867874794,0.7999597419932087,0.6831282758837622,0.6434832730516751,121.06900326323242,511.4615563994662,4.224545859086894
(고급)질서의 젬 : 안정,0.9051407451672588,0.8162111808341603,0.9114717943772276,1.0351816524096489,1.1690125501264303,1.1460183907422385,1.0195039984008036,892.305057728844,1167.2700247883013,1.3081513039490296
(고급)혼돈의 젬 : 붕괴,0.23668484705324463,0.14493272733207582,5.2783049668151465,0.3863087453090588,0.27064245338165116,0.1927701762257556,0.3158506690200097,71.2954754345646,648.4016293843614,9.094569121422975
(고급)혼돈의 젬 : 왜곡,0.3474371363578115,0.8161637349582458,4.155699250073673,0.4365076647188609,0.407536096737292,0.3242476294087818,0.3889700632314041,35.9931077324715,250.06100417043987,6.9474691107276945
(고급)혼돈의 젬 : 침식,0.10042004220814336,0.13977149319343815,1.3386775966873825,4.756667668158791,0.17648944914782555,0.13948025030958888,0.15347705911168075,346.34856997844156,2954.105508049735,8.529284553516744
(영웅)질서의 젬 : 견고,0.973773989566841,1.0126530946647372,1.0010749656747644,1.0055351593065782,1.029994953414096,0.999473827922015,0.9771792415947147,56585.76733871103,18864.679369187328,0.3333820544708203
(영웅)질서의 젬 : 불변,0.9531393327017638,1.0271112714746753,1.1011356964225916,1.0387027149622752,0.9894665941397223,0.9423230435717056,0.9414623747565591,37057.98362791492,25888.878658694197,0.6986046223840605
(영웅)질서의 젬 : 안정,0.969304895433762,0.9355431250514538,0.9438318798966793,1.0190627341485894,1.0691279932497944,1.056836952667334,1.008059342693089,72549.11280422317,39069.8595403989,0.5385298045729457
(영웅)혼돈의 젬 : 붕괴,0.9861724039194792,1.0368889482529617,1.0185427918426084,0.9714727112958035,1.0059745443212507,1.0118461943053527,0.9695778582940483,25509.06880714205,9874.34821645991,0.38709167673322836
(영웅)혼돈의 젬 : 왜곡,1.005658139353735,1.0296892073165624,0.9966755592415514,1.0034238072767887,1.0052047980234042,0.9860030848294217,0.9733406722195681,38589.36332896614,9656.675655550614,0.25024190145946446
(영웅)혼돈의 젬 : 침식,0.9751444980999667,0.9269974199078789,0.9653790592578938,1.0516185588569016,1.0414822541310924,1.0354483733263142,1.0031204260335338,48343.85453315775,12061.70517957678,0.24949821018727378
(유물)각성 각인서,0.976310666621071,0.9845395886273005,1.0654898168151195,1.0107943019278551,0.9806064164467495,0.9939116267698672,0.9863297850051781,46944.72061893195,27467.04403790576,0.5850933539655321
(유물)강령술 각인서,0.8881379712387887,0.9739317270026764,1.132923098420394,1.097347372725605,0.9041860900316999,0.927504777388466,1.0703526102375898,160.46743035566482,95.65561214606979,0.5961060879086543
(유물)강화 방패 각인서,0.9088528138280815,1.050001667427222,1.1120949497920396,1.000985970141482,0.95892174885859,1.0180604798755342,0.9518139476484795,99.35153025096223,79.31283558072784,0.7983051230351803
(유물)결투의 대가 각인서,0.9826244791681934,0.9804190959528033,1.0164684172431042,0.997130522176982,0.998967079380218,1.0182137996787837,1.0058689373750354,36219.369744098745,13232.476075949171,0.36534252720135063
(유물)구슬동자 각인서,0.9707295370016541,0.9764164190715837,1.0077677521258528,1.0077031033873864,1.0183160227081522,1.0166805765592206,1.0016402598471397,20022.644333923177,8807.75627847477,0.4398897633891599
(유물)굳은 의지 각인서,0.8660729002930385,1.0033931859762186,0.980887887332434,0.9620803897441317,1.380178725249502,0.9282802519492998,0.885066224200406,105.52934285357871,176.49699115449025,1.6724920897060707
(유물)급소 타격 각인서,0.8905850790498399,0.9017650001627482,1.270615084002089,1.0138729255024186,0.9736236108836319,1.0053651907558971,0.9441731096433752,4005.9909207767946,3132.2675587730855,0.7818958207138704
(유물)기습의 대가 각인서,0.9987973244069022,0.9807422301079673,0.9993474756015721,0.993298804217685,1.0069685201908736,1.0147791539014677,1.0060664915735313,88935.86795450286,24119.563114932367,0.2712017509883782
(유물)긴급구조 각인서,0.6710517836205308,0.7411856861188062,2.1867760500175644,1.016661554609633,0.7668231194995812,0.8269050688033922,0.7901903579497704,332.7912464028736,1202.1747969305386,3.612399093800678
(유물)달인의 저력 각인서,0.8456079730911835,0.8883457415347991,1.2701660957269454,1.1023330409022298,0.985832623940801,0.9900878254987961,0.9174152459312276,1013.9575437797947,1367.9538694545943,1.3491234202520794
(유물)돌격대장 각인서,0.9994578421066844,1.0053631067382565,1.0010378829719662,0.9877454984469366,0.9981800688648593,1.0081288271481041,1.00016795231053,152545.93250405692,47707.119471124766,0.3127393742199977
(유물)마나의 흐름 각인서,0.967107779426184,0.9747028134590454,1.0164406222106706,0.9934671811818715,1.0139968164311255,1.024742306892361,1.0086739817850887,32190.772759414765,17961.3356370493,0.5579653452648534
